ID,REVIEWS
1,"I just realized that there is not coverage for my area, which I am surprised. I wonder why this information is not provided in the product description since I ended up with an expensive device I can't even activate. Even after struggling with the headache of activating it, when you go to Starlink website, there is no contacts for customer support for one to reach out to get the appropriate support. Also at the base of the Starlink dish where it fits into the stand, there were some marks.I suspect the product was used and somebody returned it."
2,Latency too high
3,"The kit as delivered requires an additional adapter to be integrated into an existing network.  Mounts sold on Jumia don’t work, buy directly from Starlink who deliver quickly. Speeds vary from 50mb/s to 140mb/s, but that depends on time of day and line of sight. Upload speeds are around 15-20mb/s. Slower upload speeds can be a problem if several people are online on calls."
4,Outstanding speeds
5,perfect
6,Plug and play.
7,Worked perfectly
8,"Got exactly what I expected, easy pickup, easy installation, and works very reliably"
9,It worked for a few minutes then just randomly stopped working. After contacting Starlink support they sent out a new cable but that still hadn’t changed anything. The dish appeared to have been used and damaged i don’t know
10,excellent product
11,It was delivered on time.
12,"With a clear view of the sky, the kit works as expected (any obstructions will impact performance). Download speeds are awesome  and you won't get undersea cable cut incidents as you're connected to satellites. Can be a good backup for local fiber-optic internet. Monthly fee is a bit costly but it will get better with time."
13,Working perfectly
14,Speeds upto 312mbps
15,Great service 
16,Very fast internet
17,Pure greatness
18,Great internet
19,"Starlink arrived as promised. Works as expected. This is the best access at this time, especially for remote and underdeveloped areas with unreliable cellular internet. Just make sure you have as much unobstructed view of the sky as possible. Highly recommend if you can afford it."
20,Its easy to install loving it
21,Greatness
22,Good speeds
23,Satisfied 
24,Strong signal and fast speeds
25,Fast connection
26,Not the best for Isp
27,Delivered on time and fast. Packaging intact. Dish Working great. Internet perfect Highly recommend
28,Good
29,The delivery took less than a week.
30,I got my Starlink Kit on Jumia and I am so happy with the quality of the internet - way better and overall cheaper than Safaricom.
31,"It has been 2 months of use and the device/hardware was delivered okay and all is working well, no dents on the packaging whatsoever. Comes with a manual and a sealed box. Caveat to note when buying from an authorized reseller is 1st check with starlink.com if there is coverage in your area else you might end up with a device that you can’t use due to location restrictions ora device you can use albeit with a service plan you did not intend to have.Good news is internet issues are a thing of the past. Speeds range between 70Mbps to 300Mbps. (From the tests done so far).Point to note if you need any extra mounts and accessories get them from starlink.com.The starlink app works well and has alot of features. I would suggest some research 1st before proceeding with the purchase. Simple YT vids should suffice."
32,The antenna and router took about 15 minutes to set up from opening the box. After that everything was automatic. Fast enough to stream Netflix and YouTube. Great service.
33,It is very fast and efficient
34,The device is reliable and I am able to receive internet with speeds of 200mb/s in rural Kenya.
35,It was delivered on time and is working perfectly.
36,Working perfectly fine
37,Fast internet speed
38,Got my kit in 24 hours and worked perfectly
39,"Great service, great download speeds, poor upload speeds but it’s decentralized"
40,Prompt delivery. High latency. Low upload speeds. High power consumption.
41,Actual product
42,Fast Internet Speeds
43,How do I get a receipt
44,Real and quick
45,"It's next gen technology, but because of price people are not buying."
46,Delivery on time  works perfectly. Recommend
47,"Good speed low latency though, improve on that and we are good to go"
48,The internet is more reliable than big local providers. No regrets. The router's wifi signal is not as strong. You might need a WIFI extender or ethernet adapter if you have a bigger compound.
49,I would like to say that the process of setting up the standing course a bit challenging. specially it requires a clear view of the sky so if you you need to ensure that there is they are no obstructions at all. yeah but after it was uh setup it works great and considering mine has an obstruction on the western side it work great.
50,As long as it has a clear line of sight with the sky. You'll never be disappointed.
51,"It is perfect with fast speeds, and is very reliable. In one word, ""excellent""."
52,Speed : I haven’t have any problem since day one . Either stream or gaming.
53,Value for money
54,"The equipment is top notch quality.
The internet speeds are incredible."
55,The problem I had was that the kit I received looked like it had been used before and someone returned it. There were dirt marks on it. Otherwise it works well and I am happy with it.
56,I brought it home on friday and have not set it up.The box looks great
57,Works perfectly.Though speed fluctuates between 50 Mbps and 120 Mbps
58,It's as advertised
59,quick delivery
60,Easy install. Easy setup. Superb system.
61,it doesn't work unless connected to power. This is a challenge in rural areas
62,"The product arrived on time but I noticed Jumia cannot support you contact the seller when the product has an issue. I was forced to engage starlink myself and you can only write to them. Funny enough is you get one response in every 24hrs. The simple issue of set up took several days to be resolved. For the internet itself, upload speed are always and unbalanced compared to
 download ones. The latency which is crucial is always above 100. I have also experienced downtime even though it is mounted to a high point with no obstruction. If you are in a place with safaricom home or Fibre home, those are better option than this. If you are in a remote place with no any other means, this can help"
63,"Download speed is good, but the range of network is wanting. Very short range."
64,"Despite my best efforts calling the customer call centre and requesting for an ETR invoice, I ended up placing and completing my order without the ETR because it was taking too long and the call centre staff sounded unsure on what process to follow to get an ETR"
65,It has very fast internet speeds faster that even the LAN networks
66,Quick service
